textid,anger,disgust,fear,joy,sad,surprise
1,0.166949,0,0.075654,0.249159,0.237968,0.270269
2,0.00004,0,0.000131,0.020174,0.439848,0.539806
3,0.000048,0,0.00015,0.468603,0.000166,0.531032
4,0,0.030772,0.003798,0.593685,0.008744,0.363
5,0.000009,0,0.008752,0.530057,0.156869,0.304314
6,0.152163,0.021542,0.21434,0,0.55195,0.060006
7,0.002763,0,0.148117,0.379788,0.031085,0.438247
8,0.139941,0.032045,0.358016,0,0.447187,0.022811
9,0,0.127415,0.016661,0.139131,0.023354,0.693439
10,0.050091,0,0.041576,0.33536,0.011084,0.56189
11,0.04694,0,0.483017,0.000403,0.450995,0.018645
12,0.119701,0,0.164512,0.29606,0.046464,0.373262
13,0.126283,0,0.453467,0.010201,0.313958,0.09609
14,0,0.004973,0.259522,0.34505,0.206742,0.183712
15,0.194279,0.082322,0.40949,0,0.291051,0.022859
16,0.138997,0.055137,0.458354,0,0.129748,0.217764
17,0,0.2085,0.053161,0.247549,0.266449,0.224341
18,0.057244,0,0.145453,0.007583,0.357186,0.432534
19,0.044704,0,0.222885,0.253908,0.312521,0.165983
20,0.009099,0,0.028503,0.69554,0.009477,0.257382
21,0.022347,0,0.072689,0.690428,0.035088,0.179448
22,0.145566,0,0.041521,0.139478,0.13889,0.534545
23,0.156852,0,0.275239,0.165337,0.233049,0.169523
24,0.119621,0,0.06697,0.012684,0.129497,0.671228
25,0.124053,0.088607,0.3533,0,0.312843,0.121198
26,0,0.057938,0.037296,0.000347,0.496283,0.408135
27,0.031292,0,0.193805,0.328675,0.211154,0.235073
28,0,0.116075,0.279004,0.325583,0.023514,0.255825
29,0.196356,0.337946,0.232674,0,0.164032,0.068993
30,0.13269,0.11248,0.469061,0,0.191087,0.094681
31,0.007465,0,0.019918,0.812449,0.00005,0.160117
32,0.055416,0,0.185039,0.077024,0.327216,0.355306
33,0.064552,0,0.104878,0.232432,0.336315,0.261824
34,0.115278,0,0.384449,0.250029,0.086676,0.163568
35,0.000005,0,0.042547,0.666064,0.025536,0.265848
36,0.02369,0,0.045786,0.70416,0.106966,0.119398
37,0.385163,0.0979,0.458043,0,0.023647,0.035247
38,0,0.037036,0.031427,0.462201,0.118969,0.350367
39,0.278179,0.144786,0.037627,0.011756,0,0.527652
40,0.17191,0.216735,0.369236,0,0.211432,0.030687
41,0.008355,0,0.068648,0.29926,0.099091,0.524647
42,0.118643,0.054329,0.635984,0.059165,0.131879,0
43,0.00001,0,0.005765,0.530333,0.069709,0.394183
44,0.219455,0.27891,0.101843,0,0.239248,0.160544
45,0.059869,0.072968,0.128824,0,0.32257,0.415769
46,0.055362,0,0.163567,0.481529,0.035387,0.264155
47,0.000053,0,0.022344,0.521993,0.00018,0.455431
48,0.012489,0,0.007372,0.73949,0.010195,0.230453
49,0.151955,0.098332,0.256738,0,0.402263,0.090712
50,0.210496,0.02618,0.471874,0.097396,0.194053,0
51,0.099567,0.109491,0,0.04453,0.002086,0.744325
52,0.018909,0,0.052425,0.519577,0.059446,0.349642
53,0,0.211326,0.000207,0.152648,0.000642,0.635177
54,0.117545,0,0.033381,0.333344,0.080101,0.435629
55,0.041143,0,0.082423,0.068916,0.765991,0.041527
56,0.110542,0.258422,0,0.301024,0.198787,0.131225
57,0.261144,0.190465,0.147921,0,0.208068,0.192401
58,0.00002,0,0.019084,0.478788,0.006388,0.49572
59,0.000076,0,0.178912,0.05751,0.000262,0.76324
60,0.154655,0.189874,0.355204,0,0.274391,0.025877
61,0.088002,0,0.037601,0.469838,0.083348,0.321211
62,0.000024,0,0.000076,0.858209,0.077915,0.063776
63,0.025216,0.016189,0,0.542759,0.083713,0.332122
64,0.113099,0,0.471657,0.026098,0.058061,0.331085
65,0.05906,0,0.192887,0.27679,0.216558,0.254706
66,0.084868,0,0.300384,0.308076,0.13686,0.169812
67,0.006253,0.013556,0,0.607174,0.076169,0.296848
68,0.048102,0,0.105818,0.000058,0.461448,0.384573
69,0,0.020938,0.263151,0.000322,0.631174,0.084415
70,0.006697,0.004037,0,0.247759,0.079012,0.662494
71,0.047042,0,0.315413,0.164881,0.446812,0.025851
72,0.119239,0.078581,0,0.378646,0.198126,0.225407
73,0.109189,0.071971,0.311459,0,0.386074,0.121307
74,0.088725,0,0.250133,0.098121,0.508626,0.054395
75,0.225924,0,0.478698,0.089904,0.10233,0.103144
76,0.007009,0,0.016747,0.660731,0.038377,0.277135
77,0.000041,0,0.140834,0.000179,0.633527,0.225419
78,0.000071,0,0.011933,0.857448,0.000246,0.130303
79,0.05906,0,0.192887,0.27679,0.216558,0.254706
80,0.177649,0,0.214607,0.254572,0.190809,0.162362
81,0.190225,0.311896,0.230368,0,0.235089,0.032422
82,0.156791,0.053488,0.281034,0,0.358564,0.150123
83,0.338444,0,0.176754,0.229083,0.134504,0.121214
84,0.05906,0,0.192887,0.27679,0.216558,0.254706
85,0.035758,0.072297,0.326197,0,0.182434,0.383314
86,0.001419,0,0.648052,0.015118,0.002436,0.332975
87,0.33278,0.078632,0.215943,0,0.315376,0.057269
88,0,0.00184,0.006304,0.508062,0.155078,0.328716
89,0.000101,0,0.021079,0.686836,0.041977,0.250007
90,0.063577,0,0.081156,0.149669,0.685609,0.019989
91,0.000024,0,0.332623,0.126186,0.173574,0.367592
92,0.206638,0.086789,0.357151,0,0.337161,0.012261
93,0.020578,0,0.726403,0.110012,0.138735,0.004271
94,0.001756,0,0.25959,0.41362,0.047719,0.277314
95,0.020987,0,0.383275,0.150573,0.307465,0.137699
96,0.000118,0,0.000367,0.998628,0.000405,0.000482
97,0.000096,0,0.050879,0.640002,0.088876,0.220146
98,0.074035,0.033296,0.064492,0,0.556535,0.271642
99,0.014172,0,0.040244,0.441522,0.047272,0.456789
100,0.05906,0,0.192887,0.27679,0.216558,0.254706
101,0.087485,0,0.434027,0.119466,0.273398,0.085624
102,0.000759,0,0.006649,0.663383,0.020523,0.308686
103,0.213717,0.057157,0.204019,0,0.371019,0.154088
104,0.140482,0,0.172977,0.290886,0.100577,0.295078
105,0.236105,0.196048,0.396103,0.00075,0.170994,0
106,0.066386,0,0.244109,0.006394,0.607939,0.075172
107,0.002663,0,0.118812,0.479769,0.316324,0.082432
108,0,0.04998,0.051261,0.29366,0.021647,0.583453
109,0.000151,0,0.000468,0.814098,0.000516,0.184768
110,0.05906,0,0.192887,0.27679,0.216558,0.254706
111,0,0.188519,0.072962,0.326807,0.222874,0.188838
112,0,0.138096,0.399862,0.296058,0.049716,0.116269
113,0.028917,0,0.044127,0.436332,0.09479,0.395835
114,0.293455,0,0.295584,0.070471,0.260656,0.079835
115,0.12302,0.033379,0.62883,0.010446,0.204325,0
116,0.000044,0,0.000138,0.702764,0.000152,0.296901
117,0.093241,0,0.340654,0.148691,0.277529,0.139885
118,0.014575,0,0.300052,0.248316,0.114364,0.322692
119,0.053908,0,0.193132,0.297449,0.100494,0.355016
120,0.022542,0,0.421369,0.161641,0.269516,0.124932
121,0.035403,0,0.165458,0.323591,0.098901,0.376647
122,0.001903,0,0.019326,0.513496,0.02033,0.444945
123,0.000044,0,0.019022,0.792055,0.056706,0.132173
124,0.029935,0.00559,0.467072,0,0.479223,0.01818
125,0.05906,0,0.192887,0.27679,0.216558,0.254706
126,0.03927,0,0.075341,0.605151,0.055685,0.224554
127,0,0.013559,0.03258,0.839394,0.00274,0.111727
128,0.104501,0,0.434086,0.060313,0.089239,0.311861
129,0.300819,0.006893,0.409653,0,0.212157,0.070479
130,0.066107,0,0.121007,0.225178,0.076232,0.511476
131,0,0.005965,0.001908,0.610433,0.046768,0.334925
132,0.000045,0,0.00014,0.785331,0.000154,0.214329
133,0.193726,0.035976,0.506166,0,0.241478,0.022653
134,0.092906,0.087154,0.265234,0,0.267387,0.287319
135,0.010329,0,0.127369,0.550145,0.058483,0.253673
136,0.000173,0,0.000566,0.680612,0.000635,0.318014
137,0,0.003766,0.280443,0.224212,0.110638,0.38094
138,0.009027,0,0.052475,0.694825,0.029593,0.21408
139,0.044199,0,0.187813,0.52708,0.047331,0.193576
140,0.043,0,0.065943,0.465704,0.141699,0.283655
141,0.003142,0.008574,0,0.748124,0.039785,0.200376
142,0.213609,0.001965,0,0.037913,0.646443,0.10007
143,0,0.028564,0.044514,0.710174,0.019396,0.197351
144,0.396419,0.041692,0.500327,0.050882,0,0.01068
145,0,0.287912,0.079744,0.075308,0.252867,0.304169
146,0.203419,0.102081,0.191124,0,0.488309,0.015067
147,0.179485,0.109655,0.197316,0,0.508465,0.005079
148,0.031738,0,0.143516,0.28509,0.326992,0.212664
149,0,0.003882,0.075211,0.411494,0.137187,0.372225
150,0,0.005613,0.11649,0.234411,0.432664,0.210822
151,0,0.062199,0.401893,0.071752,0.135555,0.328601
152,0.05906,0,0.192887,0.27679,0.216558,0.254706
153,0.042932,0,0.304268,0.393827,0.148773,0.110201
154,0,0.036687,0.006898,0.389498,0.004498,0.562419
155,0,0.067747,0.093623,0.321665,0.09476,0.422205
156,0.008046,0,0.060556,0.520381,0.046517,0.364499
157,0.081393,0,0.236283,0.312205,0.150928,0.21919
158,0.00648,0,0.015285,0.754781,0.019269,0.204184
159,0.039024,0,0.017073,0.422984,0.285812,0.235106
160,0,0.007089,0.326899,0.343429,0.10296,0.219622
161,0,0.021089,0.064045,0.765192,0.021678,0.127996
162,0.064517,0,0.365576,0.25545,0.123032,0.191425
163,0.413299,0.122507,0.143738,0,0.129116,0.19134
164,0.083375,0.038502,0.227607,0.080779,0.569736,0
